Title,Link,Company,Location,City,Is_Recent,Type,Experience_Type,Years_Of_Experience,Skills_Count,Skills_Set
Mid-Level Software Quality Control Engineer,https://wuzzuf.net/jobs/p/s5rU38zeerVv-Mid-Level-Software-Quality-Control-Engineer-PSH-Cairo-Egypt?o=673&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,PSH,"Maadi, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'Computer Science', 'Engineering', 'Software Testing', 'technical', 'Testing', 'Quality Control', 'Quality engineer']"
Deals -Transaction Services-Graduates -Egypt,https://wuzzuf.net/jobs/p/qdezHXNLVwKq-Deals--Transaction-Services-Graduates--Egypt-PwC-Middle-East-Cairo-Egypt?o=674&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,PwC Middle East,"Cairo, Egypt ",Egypt,True,Full Time,Not specified,0,10,"['Accounting/Finance', 'Accounting', 'Commerce', 'Finance', 'Microsoft Office', 'Transactions', 'CA', 'Financial Analysis', 'Financial Management', 'CFA']"
Senior Medical Sales,https://wuzzuf.net/jobs/p/y1XL7VwwXVDN-Senior-Medical-Sales-Sky-Medical-for-Medical-Devices-Alexandria-Egypt?o=675&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sky Medical for Medical Devices,"Mahta Alraml, Alexandria, Egypt ",Egypt,False,Full Time,Experienced,5,10,"['Medical/Healthcare', 'Sales/Retail', 'Pharmaceutical', 'Sales', 'Sales Target', 'Wholesale', 'Skills', 'Communication', 'Customer Service', 'Management']"
Beauty Advisor,https://wuzzuf.net/jobs/p/3DIj7xdkOMJl-Beauty-Advisor-Sehha-Pharmacy-Cairo-Egypt?o=676&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sehha Pharmacy,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,1,10,"['Customer Service/Support', 'Medical/Healthcare', 'Sales/Retail', 'Cosmetics', 'Sales', 'sales skills', 'Customer Service', 'Pharmacy', 'Pharmacy Management', 'Pharmaceutical Sales']"
Planning & Budgeting and Costing Senior Accountant,https://wuzzuf.net/jobs/p/0QSoCjVH05do-Planning-Budgeting-and-Costing-Senior-Accountant-Ascom-Cairo-Egypt?o=677&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ascom,"Maadi, Cairo, Egypt ",Egypt,False,Full Time,Experienced,4,4,"['Accounting/Finance', 'Accounting', 'Financial Management', 'Financial Analysis']"
Injection Molding plastic - Process Engineer,https://wuzzuf.net/jobs/p/NyAtZJMdDN1F-Injection-Molding-plastic---Process-Engineer-Mobica-Giza-Egypt?o=678&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Mobica,"Abu Rawash, Giza, Egypt ",Egypt,False,Full Time,Experienced,2,10,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Engineering', 'Industrial', 'Injection', 'Management', 'Manufacturing', 'Mechanical', 'Plastic', 'Production']"
UAE National | Customer Offering Executive | AL Futtaim Automotive | Global Aftersales,https://wuzzuf.net/jobs/p/wHutc5C5Suvo-UAE-National-Customer-Offering-Executive-AL-Futtaim-Automotive-Global-Aftersales-Al-Futtaim-Group---Other-locations-Dubai-United-Arab-Emirates?o=679&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Al Futtaim Group - Other locations,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Installation/Maintenance/Repair', 'Marketing/PR/Advertising', 'Engineering - Mechanical/Electrical', 'automotive', 'digital marketing', 'maintenance', 'marketing', 'management', 'sap', 'sales']"
Client Coordinator (KSA National),https://wuzzuf.net/jobs/p/YvIk6M6h0huD-Client-Coordinator-KSA-National-Nathan-Nathan-Riyadh-Saudi-Arabia?o=680&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Nathan & Nathan,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Administration', 'Customer Service/Support', 'Marketing/PR/Advertising', 'Customer Support', 'Customer Care', 'Client Relations', 'Administration', 'Customer Service', 'Events', 'Public Relations (PR)']"
Head of IT Strategy and Governance,https://wuzzuf.net/jobs/p/3FHnZ2cpKBV9-Head-of-IT-Strategy-and-Governance-Dautom-Sharjah-United-Arab-Emirates?o=681&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Dautom,"Sharjah, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'management', 'project management', 'operations', 'software']"
Research executive,https://wuzzuf.net/jobs/p/ZUcfRQHbD5hW-Research-executive-Nielsen-Consumer-LLC-Cairo-Egypt?o=682&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Nielsen Consumer LLC,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Analyst/Research', 'Market Research', 'Marketing', 'Research', 'Customer Care', 'Sales', 'Account Executive', 'Microsoft Office']"
Executive Director- Contracting,https://wuzzuf.net/jobs/p/zshKzkpIO4fI-Executive-Director--Contracting-First-Abu-Dhabi-Bank-Dubai-United-Arab-Emirates?o=683&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Abu Dhabi Bank,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Administration', 'Engineering - Construction/Civil/Architecture', 'Operations/Management', 'Administration', 'Admin', 'Business Development', 'Microsoft Office', 'English', 'Secretary', 'Management']"
Associate Business Director - Experience Design,https://wuzzuf.net/jobs/p/PeahVSwG9782-Associate-Business-Director---Experience-Design-Publicis-Groupe-Dubai-United-Arab-Emirates?o=684&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Groupe,"Dubai, United Arab Emirates ",Emirates,True,Full Time,Not specified,0,10,"['Business Development', 'Customer Service/Support', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Care', 'Customer Support']"
Business Development Manager / Recruitment Agency,https://wuzzuf.net/jobs/p/HJ6wleiEvMwA-Business-Development-Manager-Recruitment-Agency-Outservingplus-Giza-Egypt?o=685&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Outservingplus,"Mohandessin, Giza, Egypt ",Egypt,False,Full Time,Manager,5,10,"['Business Development', 'Sales/Retail', 'Education/Teaching', 'business', 'Business Development', 'Business development manager', 'Administration', 'Business Administration', 'Communication', 'Customer Support']"
Medical Sales Representative,https://wuzzuf.net/jobs/p/BTYjLu4GIszF-Medical-Sales-Representative-Giza-Egypt?o=686&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Giza, Giza, Egypt ",Egypt,False,Full Time,Experienced,3,6,"['Medical/Healthcare', 'Sales/Retail', 'Communication', 'Management', 'sales skills', 'Medical']"
Java Team Lead,https://wuzzuf.net/jobs/p/U8GVYIZjMG6M-Java-Team-Lead-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=687&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Egypt,False,Full Time,Manager,6,10,"['IT/Software Development', 'Operations/Management', 'Engineering - Telecom/Technology', 'Java', 'Management', 'Azure', 'Java Jee', 'ORM', 'SQL', 'Angular']"
CCR Operator,https://wuzzuf.net/jobs/p/PtpHxm9UcsPw-CCR-Operator-Titan-Cement-Egypt-Alexandria-Egypt?o=688&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Titan Cement Egypt,"Alexandria, Egypt ",Egypt,False,Full Time,Experienced,3,9,"['Manufacturing/Production', 'Kiln', 'Production Process', 'Cement', 'Operations Management', 'Cement Operation', 'CCR Operation', 'DCS', 'English']"
Export manager,https://wuzzuf.net/jobs/p/6rePlIRXI9up-Export-manager-Intercairo-aluminium-industry-Giza-Egypt?o=689&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Intercairo aluminium industry,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Manager,1,4,"['Sales/Retail', 'Export', 'Sales', 'Marketing']"
Associate Business Director - Experience Design,https://wuzzuf.net/jobs/p/bX7J9Bvj0Vl6-Associate-Business-Director---Experience-Design-Publicis-Group-Dubai-United-Arab-Emirates?o=690&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Group,"Dubai, United Arab Emirates ",Emirates,True,Full Time,Not specified,0,10,"['Business Development', 'Customer Service/Support', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Care', 'Customer Support']"
Customer Service Manager/ Loan Processor,https://wuzzuf.net/jobs/p/kMI2FHRvOgHq-Customer-Service-Manager-Loan-Processor-Make-It-Happen-Finance-Cairo-Egypt?o=691&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Make It Happen Finance.,"Cairo, Egypt ",Egypt,False,Work from home,Entry Level,0,10,"['0 - 10 Yrs of Exp', 'Accounting/Finance', 'Business Development', 'Operations/Management', 'Finance', 'CRM', 'Loans', 'Customer Management', 'Marketing', 'Operations Management']"
Quality Assurance Supervisor,https://wuzzuf.net/jobs/p/630q4xOmJeLp-Quality-Assurance-Supervisor-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=692&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['Quality', 'Analyst/Research', 'Communication', 'business', 'Quality Assurance', 'quality', 'QA', 'Management', 'MIS', 'Reporting']"
"Facilities coordinator, Reliability Maintenance Engineering",https://wuzzuf.net/jobs/p/3M0GR2hi82BN-Facilities-coordinator-Reliability-Maintenance-Engineering-Amazon-MENA-Cairo-Egypt?o=693&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Amazon MENA,"Cairo, Egypt ",Egypt,True,Full Time,Not specified,0,10,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Mechanical/Electrical', 'engineering', 'maintenance', 'mechanical engineering', 'information technology (it)', 'microsoft office', 'installation', 'management']"
SQE Team Leader,https://wuzzuf.net/jobs/p/PN8tGzpOvnLj-SQE-Team-Leader-General-Motors-Co-Cairo-Egypt?o=694&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,General Motors Co.,"Cairo, Egypt ",Egypt,True,Full Time,Not specified,0,10,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Computer Science', 'Customer Service', 'Real Estate']"
Head of digital marketing,https://wuzzuf.net/jobs/p/18Ih9dRacj19-Head-of-digital-marketing-Cairo-Egypt?o=695&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Cairo, Egypt ",Egypt,False,Full Time,,7,9,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Strategy/Consulting', 'Advertising', 'Digital Marketing', 'E-Marketing', 'Marketing', 'Project Management', 'Marketing Campaigns']"
Customer Success Specialist (Fluent English Only),https://wuzzuf.net/jobs/p/70TEhS8PbQsa-Customer-Success-Specialist-Fluent-English-Only-FlairsTech-Cairo-Egypt?o=696&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,FlairsTech,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,1,6,"['Customer Service/Support', 'Customer Success', 'Customer Care', 'Customer Satisfaction', 'Customer Retention', 'Customer Management']"
Assistant Sous Chef,https://wuzzuf.net/jobs/p/qqbvA7l37UEL-Assistant-Sous-Chef-Marriott-International-Inc-Ritz-Carlton-Hotel-Company-L-L-C-Doha-Qatar?o=697&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C.","Doha, Qatar ",Qatar,False,Full Time,Not specified,0,10,"['Hospitality/Hotels/Food Services', 'Tourism/Travel', 'Chef', 'Microsoft Office', 'Sous Chef', 'Culinary Science', 'Kitchen', 'Restaurant', 'Cooking', 'Food']"
Localization Project Coordinator,https://wuzzuf.net/jobs/p/fdalq8wIu1Dj-Localization-Project-Coordinator-Do-Localize-Ltd-Giza-Egypt?o=698&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,"Do Localize, Ltd.","6th of October, Giza, Egypt ",Egypt,False,Full Time,Entry Level,0,11,"['0 - 2 Yrs of Exp', 'Customer Service/Support', 'Writing/Editorial', 'Project/Program Management', 'Project Management', 'Localization', 'Administration', 'Operations', 'Writing', 'English', 'Translation']"
"Professional, Import/Export-UAE",https://wuzzuf.net/jobs/p/Xze4zf1T72Gt-Professional-ImportExport-UAE-Ingram-Micro-Company-Dubai-United-Arab-Emirates?o=699&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ingram Micro Company,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Logistics/Supply Chain', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'logistics', 'supply chain', 'microsoft office', 'sales', 'export', 'import', 'management']"
Sous Chef,https://wuzzuf.net/jobs/p/JW860SzFhemh-Sous-Chef-UrbaCon-Contracting-Trading-Company-Doha-Qatar?o=700&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,UrbaCon Contracting & Trading Company,"Doha, Qatar ",Qatar,False,Full Time,Not specified,0,10,"['Hospitality/Hotels/Food Services', 'Tourism/Travel', 'Chef', 'Microsoft Office', 'Sous Chef', 'Culinary Science', 'Kitchen', 'Restaurant', 'Hotels', 'Restaurant Management Software']"
Senior Product Specialist / Urology.,https://wuzzuf.net/jobs/p/3d6z6Abci4eW-Senior-Product-Specialist-Urology-Gulfmed-Egypt-Cairo-Egypt?o=701&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Gulfmed Egypt,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,2,4,"['males_preferred', 'Medical/Healthcare', 'sales skills', 'Medical']"
"Part-time Onsite Support Engineer (Jeddah, ITIL, 2nd Level Support, AD, VPN)",https://wuzzuf.net/jobs/p/HVAUtBLDcvYR-Part-time-Onsite-Support-Engineer-Jeddah-ITIL-2nd-Level-Support-AD-VPN-D-ploy-GmbH-Jeddah-Saudi-Arabia?o=702&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,D-ploy GmbH,"Jeddah, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Computer Engineering', 'Customer Support', 'Customer Care', 'Customer Service']"
Quality Engineer,https://wuzzuf.net/jobs/p/Yijl46UzSPK2-Quality-Engineer-Marbella-For-Food-Industry-Giza-Egypt?o=703&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Marbella For Food Industry,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['R&D/Science', 'Manufacturing/Production', 'Quality', 'Agriculture', 'Chemistry', 'Engineering', 'ISO', 'ISO 9001', 'Management', 'Manufacturing']"
"General Accountant (Temporary, 6-9 months)-O&G (Reconciliations, Month-end, JDE): Dubai United Arab Emirates",https://wuzzuf.net/jobs/p/c3jl4vMTzQMW-General-Accountant-Temporary-6-9-months-OG-Reconciliations-Month-end-JDE-Dubai-United-Arab-Emirates-National-Oilwell-Varco-Inc-Dubai-United-Arab-Emirates?o=704&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,"National Oilwell Varco, Inc.","Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Banking', 'Logistics/Supply Chain', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Commerce', 'Microsoft Office', 'English']"
Sales Engineer/ 10th of Ramadan,https://wuzzuf.net/jobs/p/VTkx0pcWMn89-Sales-Engineer-10th-of-Ramadan-Obegi-Chemicals-Sharqia-Egypt?o=705&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Obegi Chemicals,"10th of Ramadan City, Sharqia, Egypt ",Egypt,False,Full Time,Entry Level,1,10,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Customer Service', 'Sales', 'sales skills', 'Arabic', 'Engineering', 'English', 'ERP', 'Lubricants']"
Sales Engineer/ Alexandria,https://wuzzuf.net/jobs/p/e80qsfE7C5j6-Sales-Engineer-Alexandria-Obegi-Chemicals-Alexandria-Egypt?o=706&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Obegi Chemicals,"Alexandria, Egypt ",Egypt,False,Full Time,Entry Level,1,10,"['Business Development', 'Sales/Retail', 'Engineering - Oil & Gas/Energy', 'Customer Service', 'Sales', 'sales skills', 'Engineering', 'English', 'ERP', 'Management']"
Assistant Brand Manager ( Cosmeceutical Back ground ),https://wuzzuf.net/jobs/p/Cj6DC2CckBdr-Assistant-Brand-Manager-Cosmeceutical-Back-ground-Pharmascienta---Nefertari-Body-Care-Cairo-Egypt?o=707&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Pharmascienta - Nefertari Body Care,"Zamalek, Cairo, Egypt ",Egypt,False,Full Time,Experienced,2,5,"['Medical/Healthcare', 'Pharmaceutical', 'Online Marketing', 'Digital Marketing', 'Creative']"
Senior OD & Performance specialist,https://wuzzuf.net/jobs/p/4XAg9Rpa2pvx-Senior-OD-Performance-specialist-National-Company-For-Maize-Products-Sharqia-Egypt?o=708&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,National Company For Maize Products,"10th of Ramadan City, Sharqia, Egypt ",Egypt,True,Full Time,Experienced,5,6,"['males_only', 'Human Resources', 'OD', 'Human Resources (HR)', 'Performance Management', 'Development']"
Customer Support Agent,https://wuzzuf.net/jobs/p/okfE4TQiF0Jh-Customer-Support-Agent-Onecard-Cairo-Egypt?o=709&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Onecard,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,0,12,"['0 - 2 Yrs of Exp', 'males_only', 'Customer Service/Support', 'Customer', 'Customer Care', 'Customer Service', 'Customer Support', 'English', 'Communication', 'Call Center', 'Computer Skills', 'Custome Satisfaction']"
Sales Engineer- Hurghada & Upper Egypt,https://wuzzuf.net/jobs/p/073ZjJQwIYa2-Sales-Engineer--Hurghada-Upper-Egypt-Alumil-Red-Sea-Egypt?o=710&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Alumil,"Hurghada, Red Sea, Egypt ",Egypt,False,Full Time,Experienced,2,10,"['Sales/Retail', 'Engineering - Other', 'Aluminium', 'Engineering', 'Sales', 'Sales Skills', 'Client Relationships', 'Solar Sales', 'Account Management', 'Marketing']"
Business Process Officer - Multinational company,https://wuzzuf.net/jobs/p/cyjzgrtOktfu-Business-Process-Officer---Multinational-company-Pillars-Cairo-Egypt?o=711&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Pillars,"Cairo, Egypt ",Egypt,True,Full Time,Experienced,2,10,"['Business Development', 'Logistics/Supply Chain', 'Manufacturing/Production', 'Business Process', 'Business Management', 'Finance', 'Project Management', 'Software', 'Business Process Re-engineering', 'Business Process Management']"
LMS Sales Consultant,https://wuzzuf.net/jobs/p/SiTG0Jt0aDAy-LMS-Sales-Consultant-classera-Cairo-Egypt?o=712&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,classera,"New Cairo, Cairo, Egypt ",Egypt,True,Full Time,Experienced,5,10,"['Business Development', 'IT/Software Development', 'Sales/Retail', 'Business Development', 'Communication skills', 'Business Administration', 'Sales Target', 'Lead Generation', 'sales skills', 'Management']"
Chief Operating Officer,https://wuzzuf.net/jobs/p/cRpjg4yovpuf-Chief-Operating-Officer-Venus-International-Free-Zone-Alexandria-Egypt?o=713&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Venus International Free Zone,"Dkhaila, Alexandria, Egypt ",Egypt,True,Full Time,,7,6,"['Logistics/Supply Chain', 'Operations/Management', 'Communication skills', 'Management', 'Operations Management', 'business']"
Network & System Administration Officer,https://wuzzuf.net/jobs/p/HWhPEDr30yhZ-Network-System-Administration-Officer-Almosafer-Giza-Egypt?o=714&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Almosafer,"Mohandessin, Giza, Egypt ",Egypt,True,Full Time,Entry Level,2,10,"['Administration', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Administration', 'Computer Science', 'Cisco', 'Configuration', 'Information Technology (IT)', 'Management', 'network']"
Supply Chain Section Head - Electrical Engineer,https://wuzzuf.net/jobs/p/ByKnMQ6CTL68-Supply-Chain-Section-Head---Electrical-Engineer-National-Electricity-Technology-Co-Giza-Egypt?o=715&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,National Electricity Technology Co.,"Agouza, Giza, Egypt ",Egypt,True,Full Time,Experienced,8,11,"['males_preferred', 'Logistics/Supply Chain', 'Engineering - Mechanical/Electrical', 'Engineering - Oil & Gas/Energy', 'Logistics', 'Logistics Management', 'Supply Chain', 'Electrical Engineering', 'Oil & Gas', 'Supply Chain Engineering', 'Mechatronics']"
Administrative Specialist,https://wuzzuf.net/jobs/p/lAuLIA8L2Wjv-Administrative-Specialist-etisal-for-advanced-industries-Giza-Egypt?o=716&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,etisal for advanced industries,"6th of October, Giza, Egypt ",Egypt,True,Full Time,Experienced,1,3,"['Administration', 'Administration', 'Management']"
SCM Contract Specialist,https://wuzzuf.net/jobs/p/7PPaROS3s0RU-SCM-Contract-Specialist-Vodafone-Qatar-Doha-Qatar?o=717&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Vodafone Qatar,"Doha, Qatar ",Qatar,True,Full Time,Experienced,0,10,"['Administration', 'Customer Service/Support', 'Legal', 'Legal', 'Contracts', 'Customer Service', 'Microsoft Office', 'Administration', 'Construction', 'Law']"
Logistics Coordinator,https://wuzzuf.net/jobs/p/faGTXkOwUnXL-Logistics-Coordinator-El-sewedy-Trading-Cairo-Egypt?o=718&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,El sewedy Trading,"New Cairo, Cairo, Egypt ",Egypt,True,Full Time,Entry Level,1,6,"['Engineering - Mechanical/Electrical', 'Supply', 'Microsoft Office', 'Supply Chain', 'Logistics', 'Management']"
Treasury Section Head,https://wuzzuf.net/jobs/p/6PuJyaJwbdmv-Treasury-Section-Head-Better-Home-Cairo-Egypt?o=719&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Better Home,"New Cairo, Cairo, Egypt ",Egypt,True,Full Time,Experienced,8,6,"['Accounting/Finance', 'Accounting', 'Cash', 'Cash Management', 'Treasury Accounting', 'Treasury']"
HR Business Partner,https://wuzzuf.net/jobs/p/Ysh3IHz6mVNv-HR-Business-Partner-Alexandria-Egypt?o=720&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Ameria, Alexandria, Egypt ",Egypt,True,Full Time,Experienced,4,8,"['Human Resources', 'Human Resource Management (HRM)', 'Employee Relations', 'Employee Engagement', 'Microsoft Excel', 'Recruitment', 'Problem Solving', 'Manufacturing Industry']"
Senior Cost Accountant,https://wuzzuf.net/jobs/p/UGcbEqObPq1g-Senior-Cost-Accountant-Chema-industries-Beheira-Egypt?o=721&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Chema industries,"Noubaria, Beheira, Egypt ",Egypt,True,Full Time,Experienced,5,7,"['males_only', 'Accounting/Finance', 'Accounting', 'CMA', 'Cost', 'Cost Accounting', 'Financial Management']"
Human Capital Specialist,https://wuzzuf.net/jobs/p/8qVveT3OAIr6-Human-Capital-Specialist-Venus-International-Free-Zone-Alexandria-Egypt?o=722&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Venus International Free Zone,"Dkhaila, Alexandria, Egypt ",Egypt,True,Full Time,Entry Level,0,11,"['0 - 3 Yrs of Exp', 'Administration', 'Customer Service/Support', 'Human Resources', 'excel', 'HR', 'hr management', 'Human Resources (HR)', 'Microsoft Office', 'Personnel', 'Recruitment']"
Customer Success Specialist,https://wuzzuf.net/jobs/p/ORIC9YfMiDoU-Customer-Success-Specialist-Future-Group-Giza-Egypt?o=723&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Future Group,"Mohandessin, Giza, Egypt ",Egypt,True,Full Time,Experienced,2,7,"['Marketing/PR/Advertising', 'Digital Marketing', 'Account Management', 'Marketing', 'Skills', 'Management', 'Customer Success']"
"Agriculture Quality Control Manager - Potatoes, Oranges, Mango",https://wuzzuf.net/jobs/p/hzMF3vlsot7N-Agriculture-Quality-Control-Manager---Potatoes-Oranges-Mango-El-Teriak-Industrial-Group-Beheira-Egypt?o=724&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,El Teriak Industrial Group,"Beheira, Egypt ",Egypt,False,Full Time,Manager,1,10,"['Operations/Management', 'Quality', 'Agricultural', 'Agriculture', 'Engineering', 'farm', 'Farming', 'Food', 'HACCP', 'Harvesting']"
Sales Director (Engineering & Architecture Scope),https://wuzzuf.net/jobs/p/3KxSAraCHEyo-Sales-Director-Engineering-Architecture-Scope-Staron-Egypt-Cairo-Egypt?o=725&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Staron Egypt,"Cairo, Egypt ",Egypt,True,Full Time,,5,10,"['Engineering - Construction/Civil/Architecture', 'Manufacturing/Production', 'Sales/Retail', 'Sales', 'Sales Target', 'Negotiation', 'Communication', 'Customer Service', 'Engineering Services', 'CRM']"
"Account Director, Sales - Events",https://wuzzuf.net/jobs/p/oCwP46h5rkdD-Account-Director-Sales---Events-Kerzner-International-Management-Dubai-United-Arab-Emirates?o=726&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Kerzner International Management,"Dubai, United Arab Emirates ",Emirates,True,Full Time,Not specified,0,10,"['Customer Service/Support', 'IT/Software Development', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Information Technology (IT)']"
Room Attendant,https://wuzzuf.net/jobs/p/4EI56QTPoP3C-Room-Attendant-Kempinski-Hotels-Cairo-Egypt?o=727&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Kempinski Hotels,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['Administration', 'Customer Service/Support', 'Hospitality/Hotels/Food Services', 'administration', 'microsoft office', 'hospitality', 'office management', 'hotel', 'or', 'cleanliness']"
Content Creator & Moderator,https://wuzzuf.net/jobs/p/G2iFDlOiATSw-Content-Creator-Moderator-Infinity-Clinic-Pharma-Cairo-Egypt?o=728&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Infinity Clinic Pharma,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,1,11,"['females_only', 'Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'E-Marketing', 'English', 'Marketing', 'media', 'SEO', 'Social Media', 'Design']"
Technical Presales Lead (KSA Based),https://wuzzuf.net/jobs/p/fIfAddp6TOir-Technical-Presales-Lead-KSA-Based-BBI-Consultancy-Riyadh-Saudi-Arabia?o=729&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,BBI-Consultancy,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Experienced,7,11,"['males_preferred', 'IT/Software Development', 'Sales/Retail', 'Presales', 'Engineering', 'Data Management', 'Management', 'sales skills', 'business', 'technical', 'Data']"
